Asmens kodas,Vardas,Pavarde,Lytis,Adresas,El_pastas,Tel_numeris,Kategorija,Registracijos_data,Statusas
49302231234,Jonas,Kazlauskas,Vyras,"Žirmūnų g. 45-12, Vilnius",jonas.kazlauskas@gmail.com,+37061234567,Gydytojas,2024-02-11,Aktyvus
49503151235,Rūta,Petrauskaitė,Moteris,"Antakalnio g. 87-5, Vilnius",ruta.petrauskaite@yahoo.com,+37061111222,Gydytojas,2024-05-19,Aktyvus
39107151236,Tomas,Jankauskas,Vyras,"S. Stanevičiaus g. 56-23, Vilnius",tomas.jankauskas@inbox.lt,+37061200987,Gydytojas,2023-11-25,Aktyvus
48903121237,Eglė,Mickevičiūtė,Moteris,"Laisvės pr. 85-16, Vilnius",egle.mickeviciute@gmail.com,+37061122334,Gydytojas,2024-09-30,Aktyvus
38704221238,Mantas,Žukauskas,Vyras,"Kalvarijų g. 98-45, Vilnius",mantas.zukauskas@gmail.com,+37061544556,Gydytojas,2023-07-18,Aktyvus
49111111239,Lina,Paškevičiūtė,Moteris,"Taikos pr. 56-8, Kaunas",lina.paskeviciute@gmail.com,+37061877889,Gydytojas,2023-08-02,Aktyvus
38605241240,Lukas,Bieliauskas,Vyras,"Kretingos g. 23-10, Klaipėda",lukas.bieliauskas@outlook.com,+37061090908,Gydytojas,2024-01-14,Aktyvus
49803251241,Justina,Sabaliauskaitė,Moteris,"Vytauto g. 11-7, Šiauliai",justina.sabaliauskaite@gmail.com,+37061233445,Gydytojas,2024-04-27,Aktyvus
38906261242,Andrius,Grigaitis,Vyras,"Respublikos g. 65-4, Panevėžys",andrius.grigaitis@yahoo.com,+37061988777,Gydytojas,2023-12-09,Aktyvus
48501091243,Monika,Noreikaitė,Moteris,"Pulko g. 12-22, Alytus",monika.noreikaite@gmail.com,+37061655667,Gydytojas,2024-09-01,Aktyvus
38803031244,Paulius,Kazlauskas,Vyras,"Rasos g. 9-4, Kaunas",paulius.kazlauskas@gmail.com,+37061233771,Gydytojas,2023-10-10,Aktyvus
49204161245,Aistė,Petrauskaitė,Moteris,"Šviesos g. 33-15, Marijampolė",aiste.petrauskaite@gmail.com,+37061566778,Gydytojas,2024-02-05,Aktyvus
39508151246,Karolis,Jankauskas,Vyras,"Žeimių g. 74-17, Jonava",karolis.jankauskas@inbox.lt,+37061833990,Gydytojas,2024-05-25,Aktyvus
39603251247,Gabija,Mickevičiūtė,Moteris,"Ežero g. 2-3, Utena",gabija.mickeviciute@yahoo.com,+37061199554,Gydytojas,2023-11-13,Aktyvus
48906021248,Darius,Žukauskas,Vyras,"Aušros g. 41-12, Šiauliai",darius.zukauskas@gmail.com,+37061900221,Gydytojas,2024-03-30,Aktyvus
39309181249,Ieva,Paškevičiūtė,Moteris,"Parko g. 16-9, Vilnius",ieva.paskeviciute@gmail.com,+37061344322,Gydytojas,2023-08-19,Aktyvus
39701021250,Vytautas,Bieliauskas,Vyras,"Donelaičio g. 75-18, Kaunas",vytautas.bieliauskas@outlook.com,+37061277788,Gydytojas,2024-06-11,Aktyvus
48105161251,Simona,Sabaliauskaitė,Moteris,"Melioratorių g. 6-12, Mažeikiai",simona.sabaliauskaite@gmail.com,+37061599110,Gydytojas,2023-07-24,Aktyvus
38602141252,Dominykas,Grigaitis,Vyras,"Šermukšnių g. 8-10, Panevėžys",dominykas.grigaitis@gmail.com,+37061182266,Gydytojas,2024-01-08,Aktyvus
48904171253,Agnė,Noreikaitė,Moteris,"Maironio g. 3-2, Alytus",agne.noreikaite@inbox.lt,+37061177722,Gydytojas,2023-09-22,Aktyvus
49402241254,Andrius,Kazlauskas,Vyras,"Kalnų g. 10-1, Marijampolė",andrius.kazlauskas@yahoo.com,+37061055555,Gydytojas,2024-08-12,Aktyvus
38906091255,Rūta,Petrauskaitė,Moteris,"Gedimino g. 51-8, Vilnius",ruta.petrauskaite@gmail.com,+37061988443,Gydytojas,2023-11-05,Aktyvus
48203111256,Jonas,Jankauskas,Vyras,"Kauno g. 33-10, Šiauliai",jonas.jankauskas@inbox.lt,+37061222445,Gydytojas,2024-05-09,Aktyvus
49708281257,Eglė,Mickevičiūtė,Moteris,"Naujoji g. 28-6, Utena",egle.mickeviciute@outlook.com,+37061155222,Gydytojas,2023-08-15,Aktyvus
48501151258,Lukas,Žukauskas,Vyras,"Kęstučio g. 12-3, Klaipėda",lukas.zukauskas@gmail.com,+37061888111,Gydytojas,2024-09-04,Aktyvus
49604091259,Lina,Paškevičiūtė,Moteris,"Saulės g. 23-5, Mažeikiai",lina.paskeviciute@yahoo.com,+37061111333,Gydytojas,2023-12-19,Aktyvus
