Asmens kodas,Vardas,Pavarde,Lytis,Adresas,El_pastas,Tel_numeris,Kategorija,Registracijos_data,Statusas
49332867896,Simona,Bieliauskaitė,Moteris,"Debreceno g. 93-11, Klaipėda",simona.bieliauskaite@inbox.lt,+37062955348,Pacientas,2025-05-25,Aktyvus
47696995315,Jonas,Paškevičius,Vyras,"Bernotiškės g. 67-28, Tauragė",jonas.paskevicius@inbox.lt,+37063525579,Pacientas,2024-12-01,Aktyvus
49592076512,Dominykas,Mickevičius,Vyras,"Baslio g. 38-42, Utena",dominykas.mickevicius@yahoo.com,+37064137188,Pacientas,2025-03-13,Aktyvus
48973866530,Vytautas,Žukauskas,Vyras,"Baslio g. 80-29, Utena",vytautas.zukauskas@gmail.com,+37068808875,Pacientas,2025-09-28,Aktyvus
48387323570,Ieva,Kazlauskaitė,Kita,"Baslio g. 74-14, Utena",ieva.kazlauskaite@outlook.com,+37063485524,Pacientas,2023-10-20,Aktyvus
51619360132,Eglė,Paškevičiūtė,Moteris,"Tilžės g. 46-22, Šiauliai",egle.paskeviciute@inbox.lt,+37067854680,Pacientas,2024-01-25,Aktyvus
49646330464,Karolis,Žukauskas,Vyras,"Tilžės g. 26-17, Šiauliai",karolis.zukauskas@yahoo.com,+37063029719,Pacientas,2023-10-06,Aktyvus
43331918079,Darius,Kazlauskas,Vyras,"Baltijos pr. 55-46, Klaipėda",darius.kazlauskas@gmail.com,+37062189817,Pacientas,2024-01-01,Aktyvus
40006760866,Jonas,Jankauskas,Vyras,"Vytauto g. 2-22, Tauragė",jonas.jankauskas@yahoo.com,+37063946815,Pacientas,2024-06-20,Aktyvus
41985459953,Aistė,Kazlauskaitė,Moteris,"Taikos pr. 23-6, Kaunas",aiste.kazlauskaite@yahoo.com,+37068089144,Pacientas,2023-05-11,Aktyvus
40815149451,Rūta,Kazlauskaitė,Kita,"Kęstučio g. 114-31, Kaunas",ruta.kazlauskaite@outlook.com,+37065628014,Pacientas,2025-09-05,Aktyvus
44940342324,Eglė,Kazlauskaitė,Moteris,"J. Basanavičiaus g. 33-24, Utena",egle.kazlauskaite@yahoo.com,+37065568790,Pacientas,2024-07-01,Aktyvus
43266917030,Simona,Sabaliauskaitė,Moteris,"Žemaitės g. 26-20, Šiauliai",simona.sabaliauskaite@outlook.com,+37063348844,Pacientas,2024-08-04,Aktyvus
47113361701,Andrius,Noreika,Vyras,"Vytauto g. 91-48, Tauragė",andrius.noreika@outlook.com,+37067097187,Pacientas,2024-04-12,Aktyvus
40407618616,Lukas,Petrauskas,Vyras,"Laisvės a. 25-9, Panevėžys",lukas.petrauskas@inbox.lt,+37064940662,Pacientas,2025-09-02,Aktyvus
46689696400,Andrius,Kazlauskas,Vyras,"Žemaitės g. 110-10, Šiauliai",andrius.kazlauskas@inbox.lt,+37061783616,Pacientas,2024-01-30,Aktyvus
41279645958,Andrius,Jankauskas,Kita,"Ukmergės g. 91-10, Panevėžys",andrius.jankauskas@gmail.com,+37066058140,Pacientas,2024-12-20,Aktyvus
50812999028,Ieva,Žukauskaitė,Moteris,"Žemaičių g. 59-36, Kaunas",ieva.zukauskaite@outlook.com,+37066245638,Pacientas,2025-05-15,Aktyvus
39881804532,Karolis,Bieliauskas,Vyras,"Luokės g. 108-4, Telšiai",karolis.bieliauskas@inbox.lt,+37067696934,Pacientas,2025-01-21,Aktyvus
47350421892,Mantas,Žukauskas,Vyras,"R. Juknevičiaus g. 82-40, Marijampolė",mantas.zukauskas@outlook.com,+37067685938,Pacientas,2024-03-29,Aktyvus
51177031324,Karolis,Bieliauskas,Vyras,"Liepų g. 19-26, Klaipėda",karolis.bieliauskas@inbox.lt,+37069489842,Pacientas,2023-05-22,Aktyvus
50644106167,Lukas,Grigaitis,Vyras,"Chemikų g. 104-16, Jonava",lukas.grigaitis@gmail.com,+37066734881,Pacientas,2024-01-08,Aktyvus
39504319113,Eglė,Jankauskaitė,Moteris,"Dariaus ir Girėno g. 85-19, Tauragė",egle.jankauskaite@yahoo.com,+37064405344,Pacientas,2023-08-29,Aktyvus
51518992480,Karolis,Grigaitis,Kita,"Tilžės g. 92-40, Tauragė",karolis.grigaitis@gmail.com,+37067424316,Pacientas,2023-10-10,Aktyvus
46663166578,Tomas,Kazlauskas,Vyras,"Vilniaus g. 53-28, Jonava",tomas.kazlauskas@outlook.com,+37063816881,Pacientas,2023-12-24,Aktyvus
48365671472,Vytautas,Jankauskas,Vyras,"Žemaičių g. 19-24, Kaunas",vytautas.jankauskas@yahoo.com,+37065283315,Pacientas,2023-06-24,Aktyvus
41038941117,Simona,Noreikaitė,Moteris,"Konstitucijos pr. 49-11, Vilnius",simona.noreikaite@inbox.lt,+37061610108,Pacientas,2024-10-18,Aktyvus
39486677049,Monika,Sabaliauskaitė,Moteris,"Gedimino g. 56-29, Marijampolė",monika.sabaliauskaite@outlook.com,+37061258533,Pacientas,2025-01-25,Aktyvus
47515955579,Aistė,Bieliauskaitė,Moteris,"Respublikos g. 24-10, Telšiai",aiste.bieliauskaite@outlook.com,+37069164069,Pacientas,2023-09-20,Aktyvus
